Sale_ID,Product,Quantity_Sold,Sale_Date,Customer,Sales_Channel,Sale_Amount
S3000,Gizmo,14,2024-03-01,Customer Y,Wholesale,302.18
S3001,Doodad,44,2024-03-02,Customer Z,Retail,279.22
S3002,Widget,16,2024-03-03,Customer Z,Retail,121.98
S3003,Gadget,43,2024-03-04,Customer Y,Retail,320.36
S3004,Doodad,7,2024-03-05,Customer X,Wholesale,527.62
S3005,Widget,23,2024-03-06,Customer X,Retail,864.76
S3006,Widget,50,2024-03-07,Customer Y,Wholesale,165.55
S3007,Gizmo,36,2024-03-08,Customer X,Online,473.0
S3008,Gadget,27,2024-03-09,Customer Z,Online,666.79
S3009,Doodad,40,2024-03-10,Customer Y,Retail,274.99
S3010,Doodad,48,2024-03-11,Customer X,Wholesale,726.72
S3011,Gizmo,10,2024-03-12,Customer X,Retail,544.94
S3012,Gadget,16,2024-03-13,Customer Z,Wholesale,319.59
S3013,Doodad,11,2024-03-14,Customer Y,Wholesale,690.45
S3014,Gadget,12,2024-03-15,Customer Y,Online,104.99
S3015,Doodad,27,2024-03-16,Customer Z,Wholesale,775.87
S3016,Gizmo,2,2024-03-17,Customer Y,Wholesale,793.04
S3017,Thingamajig,12,2024-03-18,Customer Y,Retail,195.93
S3018,Doodad,48,2024-03-19,Customer Z,Retail,482.63
S3019,Widget,22,2024-03-20,Customer Z,Wholesale,258.3
S3020,Widget,27,2024-03-21,Customer X,Online,962.17
S3021,Thingamajig,43,2024-03-22,Customer Y,Retail,566.16
S3022,Doodad,48,2024-03-23,Customer Z,Retail,145.2
S3023,Widget,16,2024-03-24,Customer X,Online,324.28
S3024,Widget,18,2024-03-25,Customer Y,Retail,863.5
S3025,Doodad,11,2024-03-26,Customer X,Wholesale,510.82
S3026,Gadget,45,2024-03-27,Customer Z,Wholesale,821.27
S3027,Doodad,7,2024-03-28,Customer Y,Wholesale,700.82
S3028,Gadget,25,2024-03-29,Customer X,Retail,989.1
S3029,Thingamajig,3,2024-03-30,Customer Z,Retail,635.91
S3030,Gizmo,31,2024-03-31,Customer Z,Retail,955.04
S3031,Thingamajig,15,2024-04-01,Customer Z,Retail,902.28
S3032,Gizmo,13,2024-04-02,Customer Z,Wholesale,651.39
S3033,Widget,30,2024-04-03,Customer Z,Online,747.35
S3034,Widget,23,2024-04-04,Customer Z,Wholesale,554.3
S3035,Widget,20,2024-04-05,Customer Z,Retail,847.51
S3036,Gadget,15,2024-04-06,Customer X,Wholesale,593.08
S3037,Gizmo,15,2024-04-07,Customer Y,Online,907.49
S3038,Widget,2,2024-04-08,Customer Y,Wholesale,769.29
S3039,Doodad,43,2024-04-09,Customer X,Online,527.21
S3040,Gizmo,13,2024-04-10,Customer Z,Retail,333.27
S3041,Gizmo,26,2024-04-11,Customer Y,Wholesale,322.52
S3042,Gadget,22,2024-04-12,Customer Z,Wholesale,673.9
S3043,Thingamajig,18,2024-04-13,Customer Y,Wholesale,789.23
S3044,Gadget,5,2024-04-14,Customer Z,Wholesale,569.17
S3045,Widget,50,2024-04-15,Customer X,Retail,664.07
S3046,Doodad,18,2024-04-16,Customer Z,Online,347.14
S3047,Doodad,23,2024-04-17,Customer Y,Online,169.74
S3048,Widget,42,2024-04-18,Customer Z,Wholesale,357.16
S3049,Doodad,33,2024-04-19,Customer Y,Retail,344.54
